image_path,predicted_score
data/processed/wikimedia_commons/images/CH/ns6/401/File:SBB Eb 3 5 5810 2018-09-09.jpeg,2.0961385
data/processed/wikimedia_commons/images/HU/ns6/455/File:Az ország útjain járva....Az ország útjain járva.... - panoramio.jpeg,2.8466997
data/processed/wikimedia_commons/images/FR/ns6/38455/File:Rue Paris - Vaudherland (FR95) - 2023-03-11 - 10.jpeg,2.2383525
data/processed/wikimedia_commons/images/NL/ns6/2770/File:Harlingen - Tall Ship Races 2014 -182.jpeg,2.8856523
data/processed/wikimedia_commons/images/SE/ns6/1245/File:BjörköArholmaKyrka2108.jpeg,2.6427686
"data/processed/wikimedia_commons/images/UK/ns6/1102/File:Lych gate, St Mary's Church, Moseley - geograph.org.uk - 2645544.jpeg",2.9568098
data/processed/wikimedia_commons/images/IT/ns6/1250/File:VillettaSanRomanaGarfagnanaSanGiuseppe2.jpeg,2.8042543
data/processed/wikimedia_commons/images/UK/ns6/1860/File:Entrance to cemetery - geograph.org.uk - 711770.jpeg,2.5576453
data/processed/wikimedia_commons/images/DE/ns6/4917/File:Erfurt Krämerbrücke.jpeg,2.5878067
"data/processed/wikimedia_commons/images/PL/ns6/2393/File:Kapliczka przydrożna I (Nowej Naprawy 44), Lubrza 2020.07.01 01.jpeg",2.6699119
"data/processed/wikimedia_commons/images/DE/ns6/1991/File:Schifferstadt, Große Kapellenstr 8 - 2016-09-17.jpeg",2.7124195
"data/processed/wikimedia_commons/images/CZ/ns6/2442/File:JUTA, závod 04, balíky II.jpeg",2.4860806
data/processed/wikimedia_commons/images/CZ/ns6/1328/File:Louka čp. 13.jpeg,2.4187531
"data/processed/wikimedia_commons/images/DE/ns6/2307/File:Gronau, Märkerwaldstraße 115 (1).jpeg",2.7437646
data/processed/wikimedia_commons/images/FR/ns6/31406/File:Ecole Militare - Artillery section - panoramio.jpeg,2.5091972
data/processed/wikimedia_commons/images/PL/ns6/2358/File:Borová u Nového Hrádku - farma.jpeg,2.469101
data/processed/wikimedia_commons/images/FI/ns6/114/File:Office building construction Helsinki.jpeg,2.0081646
data/processed/wikimedia_commons/images/ES/ns6/4229/File:Casa de Juntas de Guernica (8605341975).jpeg,2.3370032
data/processed/wikimedia_commons/images/AT/ns6/46/File:Neuhaus Museum Liaunig Eingangsbereich Kunstguss Sarkophag 08012016 9988.jpeg,2.2395954
data/processed/wikimedia_commons/images/DE/ns6/4583/File:Friedrichroda-Schreibersweg 2-1-CTH.jpeg,2.660051
data/processed/wikimedia_commons/images/AT/ns6/999/File:Wien 01 Schulhof a.jpeg,2.4745524
"data/processed/wikimedia_commons/images/DE/ns6/4516/File:Eiltank 38 (ship, 2000) 002.jpeg",2.431364
data/processed/wikimedia_commons/images/UK/ns6/1359/File:Rolleston Railway Station - geograph.org.uk - 50229.jpeg,2.2997665
data/processed/wikimedia_commons/images/BE/ns6/76/File:Hornaing - Centrale thermique (L).jpeg,2.3573663
"data/processed/wikimedia_commons/images/IE/ns6/96/File:O'Donnell's Pub, Tralee - geograph.org.uk - 520281.jpeg",2.703059
data/processed/wikimedia_commons/images/DE/ns6/1772/File:Landappbw 714216 1822 Kelter Untersteinbach.jpeg,2.7577255
data/processed/wikimedia_commons/images/NL/ns6/2327/File:ESC 2021 Rotterdam 1st Semi Jury Show Germany2.jpeg,2.8135924
data/processed/wikimedia_commons/images/DE/ns6/6097/File:18285-Torgau-1914-Infanterie - Kaserne-Brück & Sohn Kunstverlag.jpeg,2.4436815
data/processed/wikimedia_commons/images/EL/ns6/418/File:Γειτονιά Πατήματος - panoramio.jpeg,2.2109468
data/processed/wikimedia_commons/images/CZ/ns6/1564/File:Ulice Pod Sokolovnou v Zásmukách 02.jpeg,2.7689903
data/processed/wikimedia_commons/images/ES/ns6/612/File:Jaén - Casa de la familia Bonilla.jpeg,2.7381716
data/processed/wikimedia_commons/images/UK/ns6/2021/File:Atlantic House - geograph.org.uk - 3104902.jpeg,2.229996
"data/processed/wikimedia_commons/images/SI/ns6/123/File:Slovenske Konjice, steam locomotive JZ 72-018.jpeg",2.4000568
"data/processed/wikimedia_commons/images/HU/ns6/241/File:Dunaharaszti alsó train stop, 2019 Dunaharaszti.jpeg",2.4718974
data/processed/wikimedia_commons/images/LV/ns6/247/File:Laimes slēdzenes (Luck locks) - Uldis Osis - Panoramio.jpeg,2.5293708
data/processed/wikimedia_commons/images/DE/ns6/6530/File:Hyparschale (Magdeburg-Werder).Südostfassade.ajb.jpeg,2.494206
data/processed/wikimedia_commons/images/NL/ns6/366/File:Ruys de Beerenbrouckstraat - Delft - 2011 - panoramio (7).jpeg,2.3299656
data/processed/wikimedia_commons/images/FR/ns6/11189/File:Fleurieu-sur-Saône - Montée des Bruyères - Depuis la rue du Buisson.jpeg,2.4817278
"data/processed/wikimedia_commons/images/LV/ns6/205/File:Jūrmala, Latvia - panoramio (96).jpeg",2.889891
"data/processed/wikimedia_commons/images/CZ/ns6/2192/File:Kralupy nad Vltavou, Přemyslova, od trati.jpeg",2.1645226
"data/processed/wikimedia_commons/images/CZ/ns6/873/File:Hloučela v Hamrech, Plumlov, okres Prostějov (03).jpeg",2.9522758
data/processed/wikimedia_commons/images/IT/ns6/1530/File:Teatro Ponchielli (dettaglio facciata).jpeg,2.301981
data/processed/wikimedia_commons/images/CZ/ns6/1847/File:Zimní stadion Eden.jpeg,2.1715584
data/processed/wikimedia_commons/images/DK/ns6/424/File:Jesperhus torvet - panoramio (1).jpeg,2.5280561
"data/processed/wikimedia_commons/images/DE/ns6/4346/File:16. IFA Oldtimertreffen Werdau 2013, Germany (8717672185).jpeg",2.187232
"data/processed/wikimedia_commons/images/CZ/ns6/2048/File:Side path in Svídnice, Rychnov nad Kněžnou District.jpeg",2.7224908
data/processed/wikimedia_commons/images/FR/ns6/31003/File:Allée Loge - Fresnes (FR94) - 2022-05-29 - 1.jpeg,2.258924
data/processed/wikimedia_commons/images/IT/ns6/1066/File:VicopisanoLugnanoPanorama2.jpeg,2.471742
"data/processed/wikimedia_commons/images/DE/ns6/4891/File:Auf der Burg 6, 8 (Frankenberg).jpeg",2.491632
data/processed/wikimedia_commons/images/ES/ns6/2056/File:IFCPF Pre Paralympic Tournament Salou 2016 326.jpeg,2.3357792
"data/processed/wikimedia_commons/images/NL/ns6/1277/File:Kerkstraat 1-2, Ilpendam.jpeg",2.2508311
data/processed/wikimedia_commons/images/SE/ns6/563/File:KA-3.Sjukstugan.1.jpeg,2.4972456
data/processed/wikimedia_commons/images/FR/ns6/27337/File:Avenue Fougères - Viry-Châtillon (FR91) - 2024-04-20 - 1.jpeg,2.3300712
data/processed/wikimedia_commons/images/NL/ns6/2099/File:Dordrecht Voorstraat276.jpeg,2.2936807
data/processed/wikimedia_commons/images/DE/ns6/2739/File:Bamberg Flusskreuzfahrtschiff Amacerto-20230821-RM-175140.jpeg,2.4128158
data/processed/wikimedia_commons/images/PL/ns6/699/File:Panorama from Rędziński Bridge Piotr Walczak.jpeg,2.2605839
data/processed/wikimedia_commons/images/NL/ns6/1032/File:Concertgebouw or Concert Hall (3412767394).jpeg,2.8685246
data/processed/wikimedia_commons/images/DE/ns6/421/File:Übungsplatz Deutsche Schäferhunde e.V. - panoramio.jpeg,2.2214146
data/processed/wikimedia_commons/images/ES/ns6/2794/File:Lloret de Mar - panoramio (100).jpeg,2.4660661
"data/processed/wikimedia_commons/images/PL/ns6/132/File:P-g Berberys Wa-III-1440, Żwirownia Grabie, 20230608 150911 03.jpeg",2.5942745
data/processed/wikimedia_commons/images/DK/ns6/224/File:Building In Copenhagen.jpeg,2.4536374
